"TOA5","Fluxtower CR3000","CR3000","3500","CR3000.Std.11","CPU:OzFlux_QUT_2010_11_09.CR3","12231","slow_core"
"TIMESTAMP","RECORD","Fsd_CNR1_Avg","Fsu_CNR1_Avg","Fld_CNR1_Avg","Flu_CNR1_Avg","Fn_NRL_Avg","Fg_CN3_01_Avg","Fh_Avg","Fe_raw_Avg","Fc_raw_Avg","Fm_Avg","Cc_7500_Avg","Ah_7500_Avg","ps_7500_Avg","Ux_CSAT_Avg","Uy_CSAT_Avg","Uz_CSAT_Avg","Tv_CSAT_Avg","Ta_HMP_01_Avg","RH_HMP_01_Avg","Ts_TCAV_01_Avg","Sws_616_01_raw_Avg","Rain_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","mg/m^2/s","kg/m/s^2","mg/m^3","g/m^3","kPa","m/s","m/s","m/s","C","C","fraction","C","ms","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot"
"2013-01-16 19:00:00",28233,5.94505,2.171316,373.1011,431.9555,-40.94698,10.61659,-14.16388,8.850977,0.08238156,0.08935002,667.7772,15.17035,100.5635,1.122797,0.772733,0.06270057,26.22562,24.84212,0.5812811,28.44629,19.12619,0
"2013-01-16 19:30:00",28234,-2.429812,1.186472,369.2209,419.7166,-44.19916,7.371123,-21.01322,6.368237,0.1039943,0.07506737,674.3951,15.21917,100.577,0.3721311,0.6902345,0.04891415,25.25197,23.91831,0.616414,28.08264,19.12047,0
"2013-01-16 20:00:00",28235,-2.244964,1.115542,366.7265,408.8187,-39.9019,4.395497,-1.087994,-2.055342,-0.03568415,0.009694563,687.6089,15.23113,100.6062,0.08910237,-0.03711404,0.03246158,24.15897,22.85157,0.6619217,27.70235,19.11365,0
"2013-01-16 20:30:00",28236,-1.904931,1.080313,364.8716,402.4502,-34.55823,1.697933,9.103359,0.1946519,-0.1007451,0.00790678,701.5956,15.11877,100.6231,-0.2254299,-0.1974859,0.001137111,22.8913,21.55562,0.7099103,27.29983,19.10694,0
"2013-01-16 21:00:00",28237,-1.384509,1.527149,363.1182,398.9123,-33.95336,-0.7438247,-0.03535894,-0.1781232,0.003149166,0.0009989612,723.2828,14.90348,100.6439,-0.2456983,-0.151567,-0.008739153,21.96956,20.53818,0.7538379,26.89104,19.09997,0
"2013-01-16 21:30:00",28238,-1.210751,1.630941,361.0005,396.2559,-33.41488,-2.739263,4.32624,1.266629,-0.09287724,0.004341738,772.5966,14.84632,100.6674,-0.3964392,-0.1065884,-0.01004757,21.17701,19.79385,0.7902583,26.50883,19.09315,0
"2013-01-16 22:00:00",28239,-1.042441,1.746578,359.3271,393.8516,-32.62123,-4.268292,-0.8172527,-0.05712967,0.05271594,0.002010846,785.1015,14.68093,100.6683,-0.4524398,-0.09814455,-0.008149667,20.50257,19.18047,0.818468,26.16253,19.08686,0
"2013-01-16 22:30:00",28240,-0.9507747,1.76982,359.1098,392.3942,-31.71276,-5.59856,-1.312269,-0.5020105,0.04922763,0.001932099,789.2769,14.47558,100.6488,-0.4725939,-0.2324614,-0.003045486,20.00726,18.64347,0.8482029,25.83773,19.08008,0
"2013-01-16 23:00:00",28241,-0.8015417,1.685902,361.6349,391.2377,-29.27907,-6.686577,0.8792788,-0.2492144,0.03909013,0.002817576,802.6901,14.26198,100.6405,-0.5012307,-0.2755438,-0.0004153889,19.64391,18.2461,0.8645288,25.53942,19.07356,0
"2013-01-16 23:30:00",28242,-0.737163,1.63586,364.0905,390.9222,-29.44893,-7.582288,-0.2271477,-0.6613241,-0.0006963254,0.0007909405,802.5037,14.14228,100.6003,-0.2439116,-0.01259106,-0.00683982,19.33866,17.96424,0.8725393,25.26652,19.06757,0
