"TOA5","Fluxtower CR3000","CR3000","3500","CR3000.Std.11","CPU:OzFlux_QUT_2010_11_09.CR3","12231","slow_met"
"TIMESTAMP","RECORD","Ux_CSAT_Avg","Uy_CSAT_Avg","Uz_CSAT_Avg","WS_CSAT_Avg","WD_CSAT_Avg","WD_CSAT_Compass_Avg","WD_CSAT_Sd","WS_WS4_Avg","WD_WS4_Avg","WD_WS4_Sd","Diag_WS4_Tot","Cc_7500_Avg","Ah_7500_Avg","ps_7500_Avg","Tv_CSAT_Avg","Ta_HMP_01_Avg","RH_HMP_01_Avg","Ah_HMP_01_Avg","rho_a_Avg","Ts_TCAV_01_Avg","Ts_TCAV_02_Avg","Ts_TCAV_03_Avg","Sws_616_01_Avg","Sws_616_02_Avg","Sws_616_03_Avg","Sws_616_04_Avg","Sws_616_05_Avg","Sws_616_06_Avg","Sws_616_07_Avg","Sws_616_08_Avg","Sws_616_09_Avg","Sws_616_10_Avg","Sws_616_11_Avg","Sws_616_12_Avg","Sws_616_13_Avg","Sws_616_14_Avg","Sws_616_15_Avg","Sws_616_16_Avg","Rain_Tot","Tpanel_Avg","Vbat_Avg"
"TS","RN","m/s","m/s","m/s","m/s","degrees","degrees","degrees","m/s","degrees","degrees","none","mg/m^3","g/m^3","kPa","C","C","fraction","","kg/m^3","C","C","C","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","fraction","mm","C","V"
"","","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg"
"2013-01-16 14:30:00",28224,2.109063,1.53926,0.1350573,3.094445,32.03877,247.9612,36.99343,3.229787,49.37004,32.84594,0,657.9048,15.00182,100.4709,30.4802,29.26433,0.4357164,12.69349,1.14972,28.50646,25.41477,28.82398,0.06898129,0.5345948,0.7009865,0.6358615,0.08443782,0.3740998,0.7032088,0.6539458,0.5353407,0.6670393,0.5679989,0.1550047,0.6433842,0.5252202,0.1261567,0.6200529,0,32.88584,13.2123
"2013-01-16 15:00:00",28225,2.134454,1.434987,0.1201266,3.044323,28.41523,251.5848,35.77295,3.096128,52.31839,31.59688,0,657.9052,15.03052,100.4618,30.40473,29.19869,0.4386752,12.73676,1.149838,28.72669,25.49293,29.06559,0.06917876,0.5346949,0.700782,0.63576,0.0845148,0.3739143,0.7029864,0.6538058,0.535771,0.6668789,0.5679379,0.1552331,0.6433356,0.5250369,0.1264024,0.6198444,0,32.72945,13.31213
"2013-01-16 15:30:00",28226,2.091927,1.31624,0.1065454,2.93271,28.78397,251.2161,35.76651,2.987107,52.34259,31.52194,0,658.4913,15.03352,100.4496,30.09177,28.90429,0.4464551,12.75493,1.150815,28.9471,25.58925,29.22141,0.06925357,0.5348059,0.700597,0.6355292,0.08460224,0.3739035,0.7027869,0.6536484,0.536167,0.666788,0.568066,0.1553824,0.6431503,0.5248709,0.1265829,0.6196341,0,32.76928,13.29726
"2013-01-16 16:00:00",28227,1.669141,1.369777,0.09965068,2.659796,37.2167,242.7833,44.72667,2.760373,44.09008,39.7132,0,658.4431,15.13219,100.4372,29.92801,28.69016,0.45581,12.86969,1.151425,29.13512,25.67804,29.26414,0.06934776,0.5349621,0.7004421,0.6353839,0.08468075,0.3739343,0.7026634,0.6535855,0.5365335,0.6666481,0.5682251,0.1555151,0.6430874,0.5247485,0.1267607,0.6195692,0,32.72318,13.03791
"2013-01-16 16:30:00",28228,1.99556,1.61481,0.1096194,2.968702,35.55815,244.4419,34.63485,3.070184,47.21337,30.92423,0,659.1467,15.27924,100.426,29.52769,28.30952,0.472593,13.06876,1.152636,29.23096,25.81002,29.21417,0.06943266,0.5351874,0.7003329,0.6352574,0.08472946,0.3740364,0.7025312,0.653493,0.5367528,0.6665706,0.5684271,0.1555917,0.6431555,0.5246661,0.1268869,0.6194523,0,32.4803,12.80059
"2013-01-16 17:00:00",28229,1.70207,0.5246875,0.07211403,2.259165,12.03446,267.9656,43.62093,2.320064,69.11474,38.67527,0,660.0671,15.40941,100.4362,29.01819,27.79935,0.493014,13.2592,1.154606,29.17074,25.89098,29.0222,0.06947737,0.5354018,0.7002026,0.6351766,0.08476835,0.3742288,0.7024305,0.6534196,0.5368577,0.6664621,0.5686073,0.1556507,0.6429977,0.5246087,0.1269324,0.6193156,0,31.96548,12.56069
"2013-01-16 17:30:00",28230,1.531229,0.8983284,0.1270377,2.317074,26.81112,253.1888,47.5382,2.397775,55.61714,41.69596,0,661.3237,15.46859,100.4458,28.39856,27.1545,0.5149666,13.36453,1.157149,29.05033,25.95242,28.80124,0.06948058,0.5356693,0.7001055,0.6351511,0.08477889,0.3743524,0.7023512,0.6533736,0.536806,0.6663899,0.5688868,0.1556351,0.6429114,0.52457,0.1269406,0.6192353,0,31.39275,12.38921
"2013-01-16 18:00:00",28231,1.467532,0.9669229,0.1246971,2.262583,29.18401,250.816,43.1828,2.285688,56.06501,37.53056,0,663.2091,15.34208,100.4761,27.65806,26.3983,0.5337473,13.28355,1.16049,28.8597,26.03098,28.53292,0.06945189,0.535962,0.6999893,0.6351359,0.08475941,0.3744976,0.7022859,0.6533323,0.5366135,0.6663191,0.5691934,0.1555528,0.6429381,0.5245717,0.1268924,0.6192104,0,30.51243,12.31475
"2013-01-16 18:30:00",28232,1.394346,0.2144093,0.04133542,1.780673,11.64318,268.3568,41.81313,1.852447,67.505,37.67024,0,665.154,15.25946,100.5273,27.00107,25.69191,0.5546721,13.27087,1.163856,28.6313,26.06748,28.22192,0.06937638,0.5362422,0.6998924,0.635139,0.08469955,0.3746954,0.7021835,0.653295,0.5363191,0.6662537,0.5694637,0.1554606,0.6429605,0.524559,0.1267971,0.6192023,0,29.37559,12.28488
"2013-01-16 19:00:00",28233,1.122797,0.772733,0.06270057,1.611725,33.74978,246.2502,37.07368,1.648491,50.83672,34.44217,0,667.7772,15.17035,100.5635,26.22562,24.84212,0.5812811,13.25918,1.16763,28.44629,26.20535,28.03124,0.06927297,0.5365068,0.6997569,0.6351663,0.08462817,0.3748823,0.7021042,0.6532778,0.5359859,0.6662019,0.5697769,0.1552742,0.6428669,0.5245454,0.1266628,0.6191636,0,27.9481,12.24908
